HALTESTELLEN_NAME,BPUIC,lat,lon,PRODUKT_ID,avg_trip_day,avg_p_late
"Zürich, Sihlcity",8591365,47.357973000003284,8.522260999999101,Bus,117.66509433962264,0.23113893992272472
"Zürich, Sihlcity Nord",8591366,47.360061000003604,8.52303099999905,"Bus, Tram",957.7075471698113,0.21875052929381913
"Zürich, Sihlpost / HB",8591367,47.376092999999,8.534203000001446,"Bus, Tram",1697.8254716981132,0.2184400206724361
"Zürich, Sihlquai/HB",8591368,47.379875000004986,8.53760500000003,"Bus, Tram",825.7830188679245,0.22110289437262856
"Zürich, Sihlstrasse",8591369,47.37226699999893,8.534573999999601,"Bus, Tram",750.5896226415094,0.21965968492112378
"Zürich, Sihlweidstrasse",8591370,47.32641700000209,8.514661000000446,Bus,232.75943396226415,0.41840662648094246
"Zürich, Singlistrasse",8591371,47.405112000000614,8.493488000000067,Bus,299.99528301886795,0.24905335602117673
"Zürich, Solidapark",8591372,47.38772499999712,8.48849500000013,Bus,55.354285714285716,0.30127903941529627
"Zürich, Sonneggstrasse",8591373,47.382838999998505,8.543691999999472,"Bus, Tram",532.7641509433962,0.2279194512770346
"Zürich, Sportweg",8591374,47.39173000000245,8.504999000000188,Tram,276.58490566037733,0.2548633458833611
"Zürich, Sprecherstrasse",8591375,47.367491999997355,8.552258000000338,Bus,287.62264150943395,0.22552653777912793
"Zürich, Spyriplatz",8591376,47.38205600000173,8.552218000000188,Bus,271.89622641509436,0.2629505951202253
"Zürich, Spyristeig",8591377,47.386254,8.556198999999996,Bus,21.11111111111111,0.15086206896551724
"Zürich, Stadtgrenze",8591378,47.33504199999904,8.541471000000183,Bus,178.25471698113208,0.29249099843291654
"Zürich, Stampfenbachplatz",8591379,47.37995999999477,8.542811000000105,"Bus, Tram",1686.4764150943397,0.2258704885466663
"Zürich, Staudenbühl",8591380,47.42008599999844,8.535385999999622,Bus,162.8679245283019,0.3405985047102592
"Zürich, Stauffacher",8591381,47.37342399999714,8.52924899999943,"Bus, Tram",1381.4811320754718,0.2745278257076329
"Zürich, Sternen Oerlikon",8591382,47.410069999997305,8.546231000000242,"Bus, Tram",2967.193396226415,0.27418956554848894
"Zürich, Stierenried",8591383,47.41639399999986,8.533919000000513,Bus,124.23584905660377,0.30043787472172884
"Zürich, Stockerstrasse",8591384,47.367701999997585,8.535009999999653,Tram,1018.5377358490566,0.23527135638531768
"Zürich, Stodolastrasse",8591300,47.3569069999976,8.59055799999989,Bus,48.10377358490566,0.3846777856506968
"Zürich, Strassenverkehrsamt",8591385,47.353070000007456,8.511718000000469,"Bus, Tram",1341.2641509433963,0.23555930013224535
"Zürich, Strickhof",8591386,47.39372400000001,8.547348,Bus,10.666666666666666,0.12727272727272726
"Zürich, Sukkulentensammlung",8591387,47.35492700000013,8.534296999999183,Bus,176.63679245283018,0.380900148612467
